miRNA,KMG0025_R1,KMG0033_R1,KMG0034_R1,KMG0035_R1,KMG0037_2_R1,KMG0037_R1,KMG0038_R1,KMG0039_R1,KMG0040_R1,KMG0042_R1,KMG0051_R1,KMG0055_R1,KMG0056_R1,KMG0057_R1,KMG0059_R1,KMG0062_R1,KMG0063_R1,KMG0064_2_R1,KMG0064_R1,KMG0066_2_R1,KMG0066_R1,KMG0067_2_R1,KMG0067_R1,KMG0068_2_R1,KMG0068_R1,KMG0069_2_R1,KMG0069_R1,KMG0071_R1,KMG0072_R1,KMG0073_R1,KMG0074_R1,KMG0075_2_R1,KMG0075_R1,KMG0076_R1,KMG0077_2_R1,KMG0077_R1,KMG0078_R1,KMG0079_R1,KMG0080_R1,KMG0081_R1,KMG0083_R1,KMG0084_2_R1,KMG0084_R1,KMG0085_R1,KMG0086_R1,KMG0088_R1,KMG0091_R1,KMG0093_R1,KMG0094_R1,KMG0095_R1,KMG0096_R1,KMG0097_R1,KMG0098_R1,KMG0099_R1,KMG0100_R1,KMG0101_2_R1,KMG0101_R1,KMG0102_R1,KMG0103_R1,KMG0104_R1,KMG0105_R1,KMG0106_R1,KMG0107_R1,KMG0108_R1,KMG0109_2_R1,KMG0109_R1,KMG0110_R1,KMG0111_R1,KMG0112_R1,KMG0113_R1,KMG0114_R1,KMG0115_2_R1,KMG0115_R1,KMG0116_R1,KMG0117_R1,KMG0118_R1,KMG0119_R1,KMG0120_R1,KMG0121_R1,KMG0122_R1,KMG0123_R1,KMG0124_R1,KMG0125_R1,KMG0126_R1,KMG0127_R1,KMG0128_R1,KMG0129_R1,KMG0130_R1,KMG0131_R1,KMG0132_R1,KMG0133_R1,KMG0134_R1,KMG0135_R1,KMG0136_R1,KMG0137_R1,KMG0138_R1,KMG0139_R1,KMG0140_R1,KMG0141_R1,KMG0142_R1,KMG0143_R1,KMG0144_R1,KMG0145_R1,KMG0146_R1,KMG0147_R1,KMG0148_R1,KMG0149_R1,KMG0150_R1,KMG0151_R1,KMG0152_R1,KMG0153_R1,KMG0154_R1,KMG0155_R1,KMG0156_R1,KMG0157_R1,KMG0158_R1,KMG0159_R1,KMG0160_R1,KMG0161_R1,KMG0162_R1,KMG0163_R1,KMG0164_R1,KMG0165_R1,KMG0166_R1,KMG0167_R1,KMG0168_R1,KMG0169_R1,KMG0170_R1,KMG0171_R1,KMG0172_R1,KMG0173_R1,KMG0174_R1,KMG0175_R1,KMG0176_R1,KMG0177_R1,KMG0178_R1,KMG0179_R1,KMG0180_R1,KMG0181_R1,KMG0182_R1,KMG0183_R1,KMG0184_R1,KMG0185_R1,KMG0186_2_R1,KMG0186_R1,KMG0187_2_R1,KMG0187_R1,KMG0188_R1,KMG0189_R1,KMG0190_R1,KMG0191_R1,KMG0192_2_R1,KMG0192_R1,KMG0193_R1,KMG0194_R1,KMG0195_R1,KMG0196_R1,KMG0197_R1,KMG0198_R1,KMG0199_R1,KMG0200_R1,KMG0201_R1,KMG0202_R1,KMG0203_R1,KMG0204_R1,KMG0205_R1,KMG0206_R1,KMG0209_R1,KMG0210_R1,KMG0211_R1,KMG0212_R1,KMG0213_R1,KMG0214_R1,KMG0215_R1,KMG0216_R1,KMG0217_R1,KMG0219_R1,KMG0220_R1,KMG0221_R1,KMG0222_R1,KMG0223_R1,KMG0224_R1,KMG0225_R1,KMG0226_R1,KMG0229_R1,KMG0230_R1,KMG0231_R1,KMG0232_R1,KMG0234_R1,KMG0236_R1,KMG0237_R1,KMG0238_R1,KMG0239_R1,KMG0240_R1,KMG0244_R1,KMG0245_R1,KMG0246_R1,KMG0247_R1,KMG0250_R1,KMG0252_R1,KMG0254_R1,KMG0255_R1,KMG0257_R1,KMG0260_R1,KMG0261_R1,KMG0262_R1,KMG0264_R1,KMG0265_R1,KMG0266_R1,KMG0267_R1,KMG0268_R1,KMG0269_R1,KMG0271_R1,KMG0273_R1,KMG0274_R1,KMG0275_R1,KMG0276_R1,KMG0277_R1,KMG0278_R1,KMG0280_R1,KMG0281_R1,KMG0282_R1,KMG0283_R1,KMG0285_R1,KMG0286_R1,KMG0288_R1,KMG0289_R1,KMG0290_R1,KMG0292_R1,KMG0293_R1,KMG0294_R1,KMG0295_R1,KMG0297_R1,KMG0298_R1,KMG0299_R1,KMG0300_R1,KMG0301_R1,KMG0303_R1,KMG0304_R1,KMG0306_R1,KMG0307_R1,KMG0310_R1,KMG0311_R1,KMG0312_R1,KMG0315_R1,KMG0316_R1,KMG0317_R1
hsa-miR-10b,100.75,774.81,359.52,447.31,163.53,150.28,90.42,181.43,235.98,193.39,116.47,1051.21,2478.16,440.06,323.6,629.35,224.39,92.41,0,83.34,167.84,92,0,296.98,0,201.07,0,472.57,281.37,394.07,377.76,0,186.52,234.66,42.64,0,275.18,179.29,429.49,469.56,65.53,48.5,0,70.19,112.05,228.3,168.18,155.45,78.05,281.49,461.74,451.98,98.2,223.21,167.06,57.29,0,177.74,69.31,114.41,414.23,86.86,95.37,227.67,59.29,53.92,151.52,507.79,1547.37,401.67,437.59,74.83,246.32,564.55,615.52,659.85,275.17,537.64,312.54,301.7,529.13,399.94,577.18,570.96,492.97,399.68,207.03,393.6,166.84,144.6,248.26,872.21,421.53,187.81,369.41,755.73,705.79,381.7,661.59,173.24,226.24,351.36,413.01,613.22,127.35,277.44,529.3,200.78,801.55,460.51,458.08,287.71,107.19,338.82,516.15,228.55,128.92,265.01,171.7,158.89,289.7,233.74,160.02,161.96,282.74,499.98,149.31,130.89,298.51,213.06,130,39.92,25.02,287.31,82.71,98.02,91.93,67.51,33.58,0,9.66,84.94,19.71,29.56,0,36.49,0,122,141.19,0,83.31,34,0,15.03,13.87,0,30.39,6.46,32.56,161.09,74.71,67.12,76.88,105.89,99.92,81.03,25.92,152.8,88.14,192.82,310.08,321.6,114.12,295.42,149.03,360.02,211.71,246.95,161.79,148,81.46,112.25,122.47,969.91,514.89,235.98,258.46,236.32,1203.32,517.14,690.72,321.18,351.01,114.8,275.98,677.83,862.28,523.93,89.79,193.43,103.87,107.66,441.29,161.72,0,190.02,209.57,264.64,347.4,437.33,148.52,566.91,329.59,1160.54,229.04,227.36,88.73,257.25,279.11,430.48,0,608.49,136.15,263.49,243.76,257.9,309.55,47.39,216.88,421.54,448.3,207.24,218.55,659.64,223.85,218.26,0,198.36,355.72,584.91,766.9,207.07,175.44,214.68,107.76,166.96,407.79
hsa-miR-1185.1,11.19,0,4.94,8.17,0,1.1,1.44,3.24,0,5.92,1.04,2.67,0,0,2.23,0.82,0.7,10.27,0,3.48,0,0,0,7.33,0,9.57,0,1.14,5.31,1.71,2.83,0,0,2.67,21.32,0,0.78,2.13,8.44,0,1.68,0,0,0,0,5.41,0,16.81,6.69,0,0.61,0,0,1.59,0,0,0,0,0.46,1.29,1.15,0,2.47,2.94,0,0,0,4.16,1.44,0,0,0,1.36,0.92,0,0,0,0,2.35,2.14,8.1,0,1.27,3.41,1.74,2.18,0,17.32,0,7.23,0,4.59,0,3.45,0,0,0,0,4.82,0,0,7.17,1.92,4.08,18.64,5.66,0,0,9.11,2.8,1.79,5.33,8.25,0,4.1,0,1.86,2.49,2.09,5.48,3.31,1.02,3.48,1.5,0.74,5.95,17.23,0,15.44,14.69,13.26,19.96,0,0,0,0,9.19,0,4.8,26.62,16.11,11.01,9.86,0,0,0,0,0,16.94,0,0,0,0,5.01,13.87,0,0,0,16.28,0,8.58,5.48,7.32,1.96,2.75,6.33,3.12,0,0,0,7.44,0,32.6,5.91,9.94,0,0,0,0,0,16.29,0,0,2.73,0,5.95,2.25,0,0,0,12.95,0,0,8.2,9.52,5.45,4.02,12.47,9.62,6.37,0,0,3.47,26.95,0,0,23.29,0,0,13.88,0,8.34,0,0,3.58,2.15,0,0,6.75,0,0,0,0,0,0,1.21,8.6,0,0,0,9.64,0,0,1.79,5.74,0,0,0,0,4.43,0,0,0,0,2.51,0,0
hsa-miR-1277,18.66,10.22,9.87,17.36,0,14.81,0.96,56.88,0,31.57,4.16,5.34,19.75,7.14,31.24,7.34,11.25,15.4,0,27.07,0,63.69,0,11,0,14.36,522.47,37,10.62,11.99,33.25,0,0,28,0,0,5.44,17.72,3.51,0,23.52,48.5,0,4.68,28.92,18.21,0,0,49.06,2.9,72.39,1.51,28.51,7.94,5.57,19.1,0,15.46,13.4,6.43,7.47,6.68,20.55,7.34,0,0,11.14,10.41,12.95,7.95,13.13,6.51,3.99,31.21,0,31.06,9.83,5.35,18.8,8.56,2.7,27.27,32.91,10.23,20.3,15.29,32.17,6.3,7.25,0,55.17,18.36,6.8,26.99,0,6.75,17.05,32.91,17.21,0,9.43,7.17,17.29,5.1,10.87,9.06,0,0,10.41,7,3.58,0,12.37,0,0,17.58,23.61,26.75,9.54,27.39,11.27,26.54,20,18.55,11.43,15.87,11.49,0,23.16,4.9,29.18,19.96,0,60.49,16.54,0,0,0,0,0,0,9.44,0,0,0,0,0,3.39,5.65,21.22,0,0,0,0,69.35,0,0,0,0,5.28,12.87,18.26,0,7.84,20.17,4.43,9.74,0,0,0,4.96,0,0,5.91,0,0,0,0,0,0,0,0,0,47.81,102.98,6.94,22.47,0,43.76,0,12.95,0,95.73,8.2,30.93,7.63,9.37,24.95,0,2.39,0,0,6.95,0,0,0,0,0,13.36,10.41,0,8.34,34.59,0,10.74,18.48,0,42.46,6.75,0,0,0,0,0,0,8.17,8.6,15.8,0,11.39,21.69,19.19,14.46,17.05,17.22,26.95,0,1.97,20.92,4.43,6.44,0,0,5.96,0,12.84,0
hsa-miR-1307,14.93,1.7,3.29,7.15,0,1.65,1.44,0.72,6.84,3.95,0,2.67,0,2.38,0,0,2.11,30.8,0,2.68,83.92,0,0,14.05,0,14.36,0,1.53,10.62,3.43,0.71,0,0,6.67,21.32,0,18.66,9.92,24.6,0,0,12.13,0,9.36,0,0.98,0,4.2,0,0,3.65,0,0,3.97,0,0,0,2.58,1.39,0.64,1.72,2.86,3.29,5.88,0,0,0,8.32,8.64,7.95,4.38,0,1.18,0.92,0,0,0,1.34,0,8.56,16.2,9.09,3.8,13.63,4.06,6.55,2.8,9.45,29.02,7.23,0,4.59,0,2.3,0,0,0,26.32,15.83,0,9.43,7.17,7.68,11.22,26.4,10.19,15.88,0,26.02,32.19,3.58,5.33,12.37,9.41,8.19,0,2.12,6.22,3.28,0,19.22,7.14,1.74,5.01,4.79,11.9,26.8,11.9,12.87,63.67,21.22,0,8.34,0,0,0,18.39,0,14.39,0,38.66,25.17,19.71,0,0,0,0,40.67,67.77,0,53.91,0,0,40.09,0,50.48,0,18.08,0,7.92,20.76,7.31,7.32,8.5,3.67,17.73,4.68,45.84,37.77,21.42,9.92,0,0,23.63,39.74,0,13.23,0,0,0,35.84,0,14.41,13.66,0,18.84,4.49,0,21.88,16.16,0,0,31.91,8.2,23.79,11.99,17.41,12.47,12.83,18.31,0,9.36,17.37,0,0,12.67,0,18.9,26.72,13.88,0,8.34,0,0,17.89,6.88,0,2.5,6.75,0,0,0,0,10.13,0,3.94,34.39,0,0,0,0,15.35,3.21,2.69,0,2.69,0,0,0,4.43,6.44,0,0,5.96,12.53,0,0
hsa-miR-137,26.12,3.41,4.11,1.02,0,0,1.44,0.36,0,0,2.08,10.67,0,2.38,4.46,1.63,0.7,0,0,2.95,0,7.08,0,14.05,0,4.79,0,3.81,0,6.85,0,0,62.17,1.33,0,0,5.44,3.54,14.06,0,0,0,0,9.36,0,1.48,0,0,6.69,0,0,0,0,5.56,0,0,0,0,0.92,0.64,3.45,0.95,0.82,11.75,0,0,0,0,1.44,7.95,4.38,0,2.18,3.67,32.4,2.82,0,10.7,2.35,6.42,16.2,0,1.27,13.63,2.9,0,2.8,6.3,7.25,0,0,9.18,0,1.72,0,13.5,10.23,6.58,13.08,0,18.85,25.1,11.53,13.26,10.87,11.32,5.29,0,33.83,5.6,12.53,21.31,12.37,18.82,8.19,8.79,1.86,4.35,2.09,5.48,10.61,4.08,4.35,2.51,4.42,12.9,11.49,11.9,10.29,36.73,10.61,39.92,16.68,0,33.09,49.01,32.17,33.76,19.19,0,38.66,17.3,0,29.56,0,0,0,10.17,39.53,21.22,0,34,34.38,15.03,27.74,0,0,3.87,0,5.28,9.25,6.85,18.31,6.54,7.33,8.86,7.79,0,0,0,4.96,0,16.3,11.82,49.68,0,26.46,0,16.18,0,42.36,10.2,7.2,9.56,0,8.92,6.74,0,21.88,0,4.32,0,0,16.4,14.28,8.72,12.05,12.47,3.21,7.16,0,9.36,3.47,0,0,25.34,0,0,13.36,13.88,0,8.34,2.03,0,21.47,3.01,0,2.5,6.75,0,0,0,0,0,0,3.03,8.6,0,27.11,22.79,21.69,19.19,1.61,2.69,0,2.69,0,0.66,0,4.43,6.44,0,31.9,0,0,0,45.31
hsa-miR-143,37.31,132.82,23.04,16.34,0,10.42,12.99,13.68,20.52,11.84,11.44,24.01,39.49,535.21,26.78,62.77,24.62,66.74,0,32.42,0,28.31,0,45.83,0,23.94,0,15.64,69.01,34.27,21.22,0,0,25.33,21.32,0,23.32,19.13,31.63,20.78,11.76,12.13,0,42.11,32.53,13.28,13.45,42.01,33.45,23.22,18.86,15.12,35.9,38.92,0,0,0,12.88,38.81,30.21,92.5,34.36,31.65,48.47,59.29,35.95,23.4,20.81,15.83,27.84,17.5,78.09,49.75,28.46,64.79,28.24,39.31,16.05,14.1,25.68,21.6,27.27,36.71,30.68,24.36,37.13,22.38,51.96,72.54,21.69,82.75,36.72,33.99,28.72,73.88,121.46,34.1,39.49,61.96,0,89.56,78.88,36.5,50,41.93,35.1,10.59,80.31,94.99,85.38,64.42,47.95,41.23,75.29,22.53,35.16,22.02,19.28,22.06,32.87,112.04,31.64,20,38.11,34.28,65.47,65.08,35.7,46.32,53.88,37.14,19.96,108.41,45.37,16.54,24.5,36.77,90.02,33.58,0,125.64,75.5,98.55,0,0,138.67,0,47.44,33.89,42.45,78.41,0,34.38,120.28,13.87,0,0,11.62,32.56,23.77,25.28,26.03,117.16,28.11,29.33,34.82,35.66,30.56,100.73,0,19.85,0,0,94.54,64.58,72,26.46,0,80.89,42.29,61.91,30.61,36.02,36.88,51.49,17.85,20.23,0,21.88,96.96,60.44,0,63.82,73.8,47.58,58.85,32.13,49.9,44.9,40.6,23.97,18.72,121.62,80.86,0,63.34,139.71,75.61,0,52.06,0,8.34,24.41,0,17.89,12.03,88.73,22.48,22.51,95.66,0,0,0,70.94,0,17.25,17.2,31.59,13.56,68.36,43.38,72.92,32.14,24.23,80.36,32.33,0,28.9,62.77,137.36,161.11,161.05,15.95,53.67,107.76,12.84,30.21
hsa-miR-1468,14.93,10.22,1.65,2.04,0,8.78,0.96,0.72,0,7.89,1.04,8,0,7.14,6.7,4.08,0.7,0,0,1.61,0,0,0,0.61,0,0,0,1.53,5.31,3.43,0,0,62.17,0,0,163.77,2.33,0,5.62,0,1.68,0,0,0,0,2.95,20.18,8.4,0,8.71,1.83,0,3.17,7.94,0,0,0,0,0.46,0.64,3.45,0.95,5.75,5.88,0,0,1.11,6.24,4.32,35.79,0,0,2.18,2.75,0,0,0,6.69,4.7,4.28,2.7,9.09,1.27,1.7,4.64,2.18,2.8,9.45,7.25,0,0,0,0,2.87,0,0,3.41,19.74,6.2,24.75,4.71,10.76,5.76,1.02,6.21,10.19,10.59,0,3.9,0,7.16,10.66,0,0,6.14,0,1.33,3.73,0,10.96,5.3,4.08,2.61,2.01,3.32,3.97,5.74,0,7.72,0,2.65,19.96,0,0,0,24.5,4.6,22.5,14.39,0,3.22,6.29,0,0,0,0,0,0,16.94,0,0,0,0,0,13.87,0,0,2.58,16.28,0,3.61,2.74,7.32,1.31,0,6.33,1.95,15.28,0,0,12.4,0,0,17.73,14.9,0,0,0,0,0,6.52,0,0,2.73,0,4.96,2.25,0,0,16.16,4.32,0,31.91,0,4.76,11.99,4.02,0,3.21,2.39,7.99,0,6.95,0,0,12.67,0,0,0,6.94,0,8.34,0,0,21.47,9.03,29.58,2.5,2.25,0,0,0,0,20.27,0,0.3,8.6,0,40.67,0,7.23,11.51,0,8.97,5.74,0,0,1.97,0,0,0,0,15.95,5.96,0,12.84,15.1
hsa-miR-146b,123.14,354.2,338.13,574.97,654.13,418.48,674.27,579.93,506.16,548.59,717.55,405.54,503.53,394.87,638.28,732.07,847.63,159.16,468.82,225.63,167.84,261.83,0,208.99,0,229.79,0,513.38,265.44,370.08,273.77,0,124.35,259.99,149.25,163.77,409.65,334.49,141.99,278.41,362.91,157.64,0,224.61,325.31,389.69,174.9,252.08,287.65,159.61,515.88,164.77,302,282.79,295.14,57.29,0,252.44,237.97,302.08,189.59,109.77,193.2,183.6,118.57,143.8,254.02,449.52,451.98,151.12,783.28,71.58,151.98,630.64,485.94,624.09,422.58,464.08,422.98,355.19,213.27,518.1,602.49,354.51,699.44,563.49,651.85,181.06,224.88,607.31,248.26,302.98,163.17,613.96,295.53,425.1,405.75,151.36,344.91,470.23,70.7,182.85,159.44,234.68,223.64,435.98,111.15,80.31,182.17,239.36,159.25,197.14,288.58,677.64,137.23,131.86,425.75,469.68,565.16,345.17,114.02,413.37,527.9,257.74,500.97,347.21,197.17,345.08,311.38,242.45,164.49,299.41,141.77,559.5,231.6,245.04,183.85,123.78,91.14,212.97,57.99,173.02,177.39,339.92,419.29,262.74,0,50.83,79.07,297.13,191.13,458.94,240.66,80.19,110.96,252.42,455.8,47.78,537.21,269.37,118.04,120.09,84.21,86.28,158.59,51.28,84.57,443.11,176.28,385.64,146.36,321.6,195.63,124.08,44.71,144.01,185.25,471.45,210.33,222.01,45.62,183.68,367.41,472.66,643.62,216.15,521.41,118.16,393.81,307.05,194.27,481.77,510.56,106.6,166.54,249.56,143.27,99.8,64.14,506.26,191.76,229.37,145.94,80.86,0,38,232.85,302.45,708.16,319.32,89.11,258.44,343.83,0,207.57,350.71,295.77,591.92,159.81,430.48,0,365.1,90.77,283.76,162.5,292.71,163.37,236.93,230.44,330.4,197.64,234.11,273.19,401.17,68.88,169.76,0,56.49,376.65,252.57,122.45,276.09,303.03,232.57,45.11,38.53,241.66
hsa-miR-153.1,7.46,3.41,4.94,9.19,0,2.19,0,0.72,3.42,1.97,0,2.67,0,23.79,4.46,4.89,2.11,10.27,0,2.41,0,14.15,0,6.72,0,14.36,0,0.76,0,3.43,6.37,0,0,4,0,0,12.44,3.54,10.54,0,0,0,0,4.68,0,0.98,20.18,8.4,0,5.8,1.83,3.02,4.22,6.35,0,0,0,0,2.77,0,2.87,1.91,9.45,14.69,59.29,0,1.11,8.32,2.88,0,0,0,3.53,2.75,32.4,0,0,2.67,2.35,4.28,16.2,18.18,3.8,6.82,3.48,15.29,0,11.02,0,14.46,0,13.77,20.4,3.45,73.88,0,3.41,19.74,6.88,0,9.43,21.51,1.92,4.08,29.51,13.59,5.29,0,15.61,5.6,12.53,5.33,8.25,28.24,10.24,0,1.86,2.49,3.28,0,13.26,4.08,0.87,1.5,1.47,3.97,22.97,35.7,12.87,7.35,29.18,0,33.36,0,16.54,0,9.19,11.25,19.19,0,6.44,17.3,29.57,0,0,7.3,0,27.11,5.65,0,0,0,0,5.01,0,0,0,56.82,0,7.92,3.16,2.28,0,2.61,2.75,3.17,1.56,15.28,12.59,0,27.29,0,0,23.63,4.97,0,26.46,0,0,0,32.58,10.2,0,8.2,12.87,8.92,6.74,0,0,32.32,4.32,0,31.91,16.4,19.03,11.99,17.41,0,6.41,7.96,0,4.68,3.47,0,0,25.34,0,0,0,17.35,0,8.34,0,0,3.58,1.72,59.15,2.5,6.75,0,0,0,90.77,0,0,3.63,68.79,0,0,0,9.64,38.38,17.68,5.38,0,0,0,2.63,0,4.43,12.89,0,0,0,0,12.84,0
hsa-miR-200c,48.51,10.22,12.34,4.09,0,1.65,0.96,1.44,17.1,0,4.16,16.01,0,9.51,11.16,2.45,2.11,0,0,6.7,0,21.23,0,29.33,0,33.51,0,0.76,26.54,11.99,7.07,0,62.17,6.67,21.32,0,13.99,4.25,40.07,8.31,1.68,12.13,0,42.11,3.61,0.98,0,8.4,15.61,0,1.22,16.63,4.22,8.74,11.14,0,0,2.58,2.77,0.64,4.6,1.91,3.29,10.28,0,0,2.23,6.24,1.44,19.88,8.75,3.25,4.17,3.67,0,4.71,0,2.67,0,23.54,32.4,9.09,5.06,17.04,5.22,4.37,0,23.62,43.52,14.46,27.58,4.59,0,2.3,0,0,13.64,19.74,13.08,24.75,28.28,17.93,17.29,17.35,51.25,14.72,0,0,7.81,22.4,8.95,5.33,61.84,9.41,16.39,8.79,3.45,6.22,2.98,5.48,38.45,5.1,6.96,6.02,3.69,9.92,28.71,59.5,28.31,46.53,53.06,0,25.02,45.37,0,73.51,50.56,33.76,67.15,133.11,25.77,59.77,49.28,14.78,0,29.19,0,77.94,56.48,0,0,0,0,25.06,83.22,0,0,69.73,0,18.49,22.57,8.68,65.9,9.8,11.92,32.29,9.74,45.84,37.77,0,19.85,0,32.6,29.54,29.81,0,52.93,22.45,16.18,0,68.43,91.84,7.2,19.13,0,27.76,8.99,0,0,0,12.95,0,31.91,8.2,42.83,25.06,28.12,12.47,25.66,19.1,0,14.04,62.55,107.81,0,12.67,0,0,0,20.83,29.7,25.01,0,0,7.16,3.01,0,5,27.01,0,0,0,0,10.13,0,3.33,17.2,0,0,22.79,12.05,23.03,4.82,1.79,0,2.69,0,1.97,0,13.29,6.44,0,15.95,0,7.52,12.84,0
